NAME,TYPE,Sector,ADDRESS_AB,CITY,PROVINCE,POSTAL_COD,longitude,latitude
Crescent Heights High,Public School,NW,1019 1 Street NW,Calgary,AB,T2M2S2,-114.0660914,51.0614898
Alternative High,Public School,SW,5003 20 Street SW,Calgary,AB,T2T5A5,-114.10996,51.00965946
Discovering Choices II - Marlborough,Public School,NE,"92, 1116 3800 Memorial Drive NE",Calgary,AB,T2A2K2,-113.9784098,51.05533875
Patrick Airlie,Public School,SE,1520 39 Street SE,Calgary,AB,T2A1H9,-113.9767839,51.03991139
Cecil Swanson,Public School,NE,4820 Rundlewood Drive NE,Calgary,AB,T1Y5V9,-113.9675431,51.07418219
St. Bonaventure,Separate School,SE,1710 Acadia Dr SE,Calgary,AB,T2J3X8,-114.0471812,50.93173706
Mount Royal University - Holy Cross Campus,Post Secondary,,,Calgary,AB,T2S3C3,-114.0670812,51.03243349
Stanley Jones,Public School,NE,950 6 Street NE,Calgary,AB,T2E8M3,-114.0477073,51.05990541
St. Teresa of Calcutta,Separate School,SE,121 Midlake Blvd SE,Calgary,AB,T2X1T7,-114.0521172,50.9144204
King George,Public School,NW,2108 10 Street NW,Calgary,AB,T2M3M4,-114.0840555,51.07089707
Brentwood,Public School,NW,1231 Northmount Drive NW,Calgary,AB,T2L0C9,-114.123858,51.09048945
St. John XXIII,Separate School,NE,1420 Falconridge Dr NE,Calgary,AB,T3J2C3,-113.9389781,51.10140502
Woodlands,Public School,SW,88 Woodgreen Drive SW,Calgary,AB,T2W4W9,-114.1069696,50.93893519
Ted Harrison,Public School,NE,215 Taravista Way NE,Calgary,AB,T3J4L1,-113.9282542,51.11723275
Varsity Acres,Public School,NW,4255 40 Street NW,Calgary,AB,T3A0H7,-114.1482182,51.09101439
West Ridge,Public School,SW,8903 Wentworth Avenue SW,Calgary,AB,T3H5N9,-114.2142424,51.05848922
H.D. Cartwright,Public School,NW,5500 Dalhart Road NW,Calgary,AB,T3A1V6,-114.1613274,51.11264854
Phoenix Education Foundation,Private School,SE,320 19 Street SE,Calgary,AB,T2E6J6,-114.0078257,51.05026416
Manmeet Singh Bhullar,Public School,NE,1027 Martindale Boulevard NE,Calgary,AB,T3J4Z1,-113.9594225,51.12330682
